coin,trades,tr/anno,CAGR%,tot%,MaxDD%,PF,win%,Calmar
SOLUSD,36,6.4,30.39,349.31,-20.14,3.01,50.0,1.51
ADAUSD,24,4.2,7.8,52.99,-24.43,2.18,29.2,0.32
AVAXUSD,26,4.6,4.78,30.26,-17.8,1.74,38.5,0.27
LINKUSD,30,5.3,4.67,29.5,-22.27,1.55,23.3,0.21
BTCUSD,59,10.4,3.66,22.57,-16.67,1.43,33.9,0.22
XRPUSD,51,9.0,2.95,17.88,-43.42,1.25,25.5,0.07
BNBUSD,53,9.4,2.81,16.99,-33.27,1.33,34.0,0.08
DOGEUSD,33,5.8,2.5,15.02,-25.76,1.29,30.3,0.1
DOTUSD,12,2.1,-0.11,-0.61,-23.96,1.04,25.0,-0.0
ETHUSD,49,8.7,-3.59,-18.71,-38.21,0.83,30.6,-0.09
