strategy,symbol,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,calmar,n_trades,win_rate_pct,profit_factor,avg_trade_usd,max_consec_losses
BB+RSI Short,BTCUSD,-62.62,-15.95,-65.14,-1.2,-1.48,-0.24,38,18.4,0.28,-164.79,8
BB+RSI Short,ETHUSD,-63.71,-16.39,-67.03,-0.68,-0.92,-0.24,55,16.4,0.56,-115.84,26
BB+RSI Short,SOLUSD,-87.03,-30.29,-87.8,-0.97,-1.44,-0.34,92,12.0,0.36,-94.6,14
BB+RSI Short,BNBUSD,-59.64,-14.81,-60.82,-0.39,-0.58,-0.24,70,21.4,0.59,-85.2,9
BB+RSI Short,XRPUSD,-57.01,-13.85,-67.67,-0.47,-0.68,-0.2,54,14.8,0.6,-105.57,14
Range Trading,BTCUSD,3.46,0.6,-49.69,0.16,0.23,0.01,50,26.0,1.02,6.92,8
Range Trading,ETHUSD,8.67,1.48,-57.78,0.22,0.34,0.03,50,22.0,1.05,17.33,15
Range Trading,SOLUSD,-71.55,-19.91,-87.2,-0.48,-0.68,-0.23,57,10.5,0.59,-125.53,14
Range Trading,BNBUSD,-13.04,-2.44,-55.94,0.1,0.15,-0.04,47,27.7,0.91,-27.74,12
Range Trading,XRPUSD,-49.15,-11.26,-72.13,-0.12,-0.18,-0.16,52,15.4,0.79,-94.53,14
MA Crossing,BTCUSD,352.88,30.58,-42.46,0.92,1.47,0.72,44,36.4,2.01,802.01,5
MA Crossing,ETHUSD,805.35,47.57,-47.41,1.0,1.58,1.0,43,34.9,2.06,1872.91,7
MA Crossing,SOLUSD,237.15,23.94,-52.05,0.67,1.16,0.46,43,25.6,1.84,551.5,7
MA Crossing,BNBUSD,113.88,14.37,-42.24,0.55,0.81,0.34,45,28.9,1.61,253.07,7
MA Crossing,XRPUSD,32.55,5.1,-68.9,0.33,0.56,0.07,45,17.8,1.14,72.33,9
Scalping On Trend,BTCUSD,-7.19,-1.31,-10.83,-0.43,-0.53,-0.12,15,33.3,0.55,-47.95,4
Scalping On Trend,ETHUSD,0.68,0.12,-1.65,0.07,0.1,0.07,8,50.0,1.1,8.46,1
Scalping On Trend,SOLUSD,-7.5,-1.37,-7.5,-0.57,-0.69,-0.18,11,27.3,0.42,-68.23,3
Scalping On Trend,BNBUSD,-0.98,-0.17,-1.65,-0.07,-0.1,-0.11,9,44.4,0.88,-10.91,1
Scalping On Trend,XRPUSD,-26.2,-5.23,-26.2,-1.29,-1.48,-0.2,33,21.2,0.29,-79.41,8
Buy + SL/TP,BTCUSD,12.62,2.12,-29.42,0.21,0.32,0.07,99,37.4,1.06,12.75,7
Buy + SL/TP,ETHUSD,-0.89,-0.16,-41.36,0.08,0.13,-0.0,103,35.9,1.0,-0.87,6
Buy + SL/TP,SOLUSD,-35.98,-7.57,-41.75,-0.3,-0.45,-0.18,125,32.0,0.82,-28.78,6
Buy + SL/TP,BNBUSD,15.01,2.5,-42.97,0.22,0.34,0.06,115,37.4,1.07,13.05,9
Buy + SL/TP,XRPUSD,-59.21,-14.65,-71.18,-0.72,-1.05,-0.21,128,28.1,0.73,-46.26,10
Flash Crash,BTCUSD,-51.29,-11.93,-51.48,-0.99,-1.16,-0.23,24,20.8,0.27,-213.7,7
Flash Crash,ETHUSD,-38.94,-8.34,-45.76,-0.42,-0.55,-0.18,55,40.0,0.7,-70.8,7
Flash Crash,SOLUSD,-70.88,-19.58,-78.84,-0.85,-1.12,-0.25,96,36.5,0.61,-73.83,8
Flash Crash,BNBUSD,-28.75,-5.81,-47.58,-0.31,-0.42,-0.12,50,42.0,0.78,-57.49,5
Flash Crash,XRPUSD,-56.79,-13.77,-64.41,-0.63,-0.85,-0.21,74,37.8,0.71,-76.74,7
