coin,CAGR%,tot%,MaxDD%,PF,trades,win%,Calmar,Sharpe
SOLUSD,30.13,318.44,-26.67,8.65,21,66.7,1.13,1.3
BNBUSD,27.31,271.52,-20.67,5.98,28,28.6,1.32,0.9
DOGEUSD,12.95,93.84,-32.35,3.79,21,19.0,0.4,0.6
ADAUSD,10.9,75.46,-20.33,4.08,15,46.7,0.54,0.69
XRPUSD,9.8,66.17,-23.84,3.65,22,31.8,0.41,0.64
AVAXUSD,7.67,49.43,-26.85,3.13,17,29.4,0.29,0.47
ETHUSD,6.17,38.48,-14.01,2.17,22,45.5,0.44,0.54
BTCUSD,5.35,32.74,-19.82,2.16,28,46.4,0.27,0.56
LINKUSD,4.02,23.87,-21.59,1.68,15,46.7,0.19,0.34
DOTUSD,1.94,11.01,-12.65,1.77,8,37.5,0.15,0.25
