ch_len,trail,exit_ema,risk,avg_cagr,min_cagr,avg_dd,worst_dd,avg_sharpe,score
30,5.0,20,100.0,46.5,11.2,-51.2,-72.7,0.88,0.6396148555708391
30,4.0,20,100.0,46.2,10.5,-51.4,-72.7,0.86,0.6354883081155434
20,4.0,20,100.0,47.6,11.2,-53.5,-78.4,0.87,0.6071428571428571
20,5.0,20,100.0,47.8,15.3,-53.5,-78.8,0.88,0.6065989847715736
30,5.0,30,100.0,44.1,12.5,-50.1,-73.7,0.85,0.598371777476255
20,5.0,30,100.0,45.7,9.9,-55.0,-80.3,0.87,0.5691158156911582
30,4.0,30,100.0,43.1,11.2,-51.7,-75.8,0.83,0.5686015831134565
20,4.0,30,100.0,44.8,11.8,-55.5,-81.3,0.85,0.5510455104551045
30,3.0,20,100.0,39.8,9.1,-50.3,-75.3,0.82,0.5285524568393094
20,3.0,20,100.0,41.3,11.8,-52.2,-81.2,0.83,0.5086206896551724
30,3.0,30,100.0,38.8,9.5,-49.9,-76.5,0.79,0.5071895424836601
20,3.0,30,100.0,40.8,8.4,-53.3,-81.9,0.82,0.4981684981684981
30,3.0,20,1.5,5.1,1.3,-7.3,-10.6,0.68,0.4811320754716981
30,3.0,20,2.0,6.6,1.7,-9.5,-13.9,0.7,0.4748201438848921
30,3.0,20,3.0,9.5,2.5,-13.5,-20.1,0.72,0.47263681592039797
30,4.0,20,3.0,8.0,2.2,-12.4,-18.1,0.73,0.4419889502762431
20,4.0,20,3.0,8.4,2.3,-13.5,-19.2,0.76,0.43750000000000006
30,3.0,30,1.5,5.0,0.9,-7.7,-11.6,0.65,0.4310344827586207
30,4.0,20,2.0,5.5,1.4,-8.8,-12.8,0.7,0.4296875
20,4.0,20,2.0,5.8,1.6,-9.6,-13.5,0.73,0.42962962962962964
30,4.0,20,1.5,4.2,1.1,-6.8,-9.8,0.69,0.42857142857142855
30,3.0,30,2.0,6.5,1.2,-10.0,-15.2,0.66,0.4276315789473684
30,3.0,30,3.0,9.3,1.8,-14.3,-21.8,0.69,0.42660550458715596
20,4.0,20,1.5,4.4,1.2,-7.4,-10.4,0.72,0.4230769230769231
20,3.0,20,2.0,7.0,1.8,-10.5,-16.7,0.73,0.4191616766467066
30,4.0,30,3.0,7.7,2.9,-13.0,-18.4,0.69,0.41847826086956524
20,3.0,20,3.0,10.0,2.7,-15.0,-24.0,0.75,0.4166666666666667
30,5.0,20,3.0,6.5,2.2,-9.8,-15.6,0.74,0.4166666666666667
20,5.0,20,3.0,6.8,2.4,-11.0,-16.5,0.77,0.4121212121212121
20,3.0,20,1.5,5.3,1.4,-8.1,-12.9,0.72,0.4108527131782945
30,4.0,30,2.0,5.3,2.0,-9.3,-13.0,0.67,0.4076923076923077
30,5.0,30,3.0,6.3,2.7,-10.9,-15.6,0.68,0.40384615384615385
30,4.0,30,1.5,4.0,1.5,-7.2,-10.0,0.65,0.4
20,5.0,20,2.0,4.6,1.6,-7.8,-11.7,0.75,0.39316239316239315
20,4.0,30,3.0,8.1,3.0,-14.2,-20.7,0.72,0.391304347826087
20,3.0,30,3.0,9.9,2.0,-16.1,-25.4,0.73,0.3897637795275591
20,3.0,30,2.0,6.9,1.4,-11.3,-17.8,0.71,0.38764044943820225
20,3.0,30,1.5,5.3,1.0,-8.7,-13.7,0.69,0.38686131386861317
40,4.0,20,100.0,27.2,8.6,-48.0,-70.5,0.7,0.38581560283687943
20,4.0,30,2.0,5.6,2.0,-10.1,-14.6,0.7,0.3835616438356164
40,5.0,20,100.0,27.1,9.2,-48.3,-70.9,0.71,0.382228490832158
30,5.0,20,2.0,4.4,1.5,-7.1,-11.7,0.72,0.3760683760683761
20,4.0,30,1.5,4.2,1.5,-7.9,-11.2,0.68,0.37500000000000006
20,5.0,20,1.5,3.5,1.2,-6.1,-9.4,0.73,0.3723404255319149
30,5.0,30,2.0,4.3,1.8,-7.9,-11.7,0.66,0.36752136752136755
