symbol,entry,exit,entry_px,exit_px,ret_pct,reason
SOLUSD,2021-08-01,2021-08-03,36.8552,32.3839,-12.13,stop
XRPUSD,2021-08-14,2021-08-27,1.0915,1.0717,-1.81,signal
BTCUSD,2021-09-04,2021-09-07,50100.0375,44125.8722,-11.92,stop
ETHUSD,2021-07-31,2021-09-07,2467.5758,3142.9283,27.37,stop
BNBUSD,2021-08-01,2021-09-07,332.7911,400.5873,20.37,stop
SOLUSD,2021-08-06,2021-09-21,37.4831,132.4231,253.29,signal
XRPUSD,2021-10-10,2021-10-19,1.162,1.0823,-6.86,signal
BTCUSD,2021-10-07,2021-10-28,55429.9704,58375.0359,5.31,signal
BNBUSD,2021-10-13,2021-10-28,445.0722,448.2125,0.71,signal
XRPUSD,2021-11-04,2021-11-16,1.2123,1.0653,-12.13,stop
ETHUSD,2021-10-15,2021-11-17,3796.7466,4203.5752,10.72,signal
SOLUSD,2021-10-21,2021-11-17,177.0241,218.8622,23.63,signal
BNBUSD,2021-10-30,2021-11-17,530.6174,588.4441,10.9,signal
BNBUSD,2023-02-08,2023-02-10,333.7171,305.5482,-8.44,signal
BTCUSD,2023-02-19,2023-02-25,24672.8038,23152.0997,-6.16,signal
ETHUSD,2023-02-21,2023-02-25,1706.1754,1605.2285,-5.92,signal
BNBUSD,2023-03-17,2023-03-28,330.3811,310.4801,-6.02,signal
BTCUSD,2023-03-17,2023-04-20,25089.6882,28766.4954,14.65,signal
ETHUSD,2023-03-15,2023-04-20,1707.4574,1931.7281,13.13,signal
BNBUSD,2023-04-17,2023-04-20,348.698,322.1039,-7.63,signal
XRPUSD,2023-05-29,2023-06-15,0.4836,0.4795,-0.85,signal
ETHUSD,2023-07-01,2023-07-07,1936.6006,1843.2709,-4.82,signal
XRPUSD,2023-07-14,2023-07-14,0.8185,0.7192,-12.13,stop
BTCUSD,2023-06-21,2023-07-18,28362.8906,30097.8654,6.12,signal
ETHUSD,2023-07-14,2023-07-19,2008.9589,1894.8734,-5.68,signal
XRPUSD,2023-07-20,2023-07-23,0.8213,0.7217,-12.13,stop
XRPUSD,2023-10-02,2023-10-10,0.5249,0.5022,-4.31,signal
XRPUSD,2023-10-25,2023-11-17,0.5596,0.6111,9.19,signal
BTCUSD,2023-10-17,2023-11-22,28563.0204,35701.697,24.99,signal
ETHUSD,2023-11-10,2023-11-22,2124.0613,1930.6197,-9.11,signal
ETHUSD,2023-12-03,2023-12-18,2169.0988,2191.1583,1.02,signal
BTCUSD,2023-12-02,2023-12-30,38764.6098,42001.1237,8.35,signal
SOLUSD,2023-10-22,2024-01-03,29.364,85.6961,191.84,stop
BTCUSD,2024-01-02,2024-01-13,44287.1112,42710.9374,-3.56,signal
BNBUSD,2023-12-27,2024-01-13,298.1949,296.1805,-0.68,signal
ETHUSD,2024-01-11,2024-01-23,2588.7273,2308.0527,-10.84,signal
SOLUSD,2024-02-09,2024-02-22,102.9642,104.8924,1.87,signal
BTCUSD,2024-02-10,2024-03-17,47227.7455,65156.3387,37.96,signal
ETHUSD,2024-02-13,2024-03-17,2665.1217,3514.9596,31.89,signal
BNBUSD,2024-02-09,2024-03-19,319.4018,513.6567,60.82,stop
SOLUSD,2024-02-29,2024-04-06,119.1785,174.1983,46.17,signal
BNBUSD,2024-04-26,2024-05-01,614.926,577.6198,-6.07,signal
SOLUSD,2024-05-16,2024-05-27,158.8379,163.0051,2.62,signal
BNBUSD,2024-05-22,2024-06-01,619.3481,592.6321,-4.31,signal
BNBUSD,2024-06-04,2024-06-10,627.3726,622.4621,-0.78,stop
ETHUSD,2024-05-21,2024-06-11,3667.0023,3660.3612,-0.18,signal
BTCUSD,2024-05-18,2024-06-12,67146.9095,67215.5452,0.1,signal
ETHUSD,2024-07-21,2024-07-25,3524.2685,3329.9975,-5.51,signal
BTCUSD,2024-07-20,2024-08-01,66807.6714,64512.6956,-3.44,signal
SOLUSD,2024-07-16,2024-08-02,159.7392,166.9792,4.53,signal
BNBUSD,2024-07-22,2024-08-03,602.754,542.1008,-10.06,signal
BNBUSD,2024-08-24,2024-08-27,592.6945,548.0048,-7.54,signal
BNBUSD,2024-09-24,2024-10-01,605.2726,566.4092,-6.42,signal
BTCUSD,2024-09-25,2024-10-02,64369.3394,60701.4411,-5.7,signal
SOLUSD,2024-09-27,2024-10-02,155.7933,144.8624,-7.02,signal
XRPUSD,2024-09-29,2024-10-02,0.6149,0.5403,-12.13,stop
BNBUSD,2024-10-30,2024-11-01,606.5768,575.1704,-5.18,signal
SOLUSD,2024-10-20,2024-11-04,159.9596,162.1864,1.39,signal
BTCUSD,2024-10-15,2024-11-05,66164.7385,67708.4348,2.33,signal
BNBUSD,2024-11-10,2024-11-21,625.3113,605.208,-3.21,signal
SOLUSD,2024-11-07,2024-12-03,187.0401,225.4613,20.54,signal
BNBUSD,2024-12-04,2024-12-11,738.8031,675.9674,-8.51,signal
ETHUSD,2024-11-24,2024-12-19,3402.6063,3619.4826,6.37,signal
BTCUSD,2024-11-07,2024-12-20,75760.0198,97226.1417,28.33,signal
XRPUSD,2024-11-13,2024-12-20,0.7067,2.2339,216.13,signal
BTCUSD,2025-01-18,2025-01-29,104263.1605,101138.075,-3.0,signal
SOLUSD,2025-01-18,2025-01-29,219.8793,226.5696,3.04,signal
XRPUSD,2025-01-12,2025-02-02,2.5794,2.8737,11.41,signal
BNBUSD,2025-03-28,2025-03-30,638.1622,602.2866,-5.62,signal
