symbol,entry,exit,ret_pct,reason
XRPUSD,2021-08-14,2021-08-27,-1.81,signal
AVAXUSD,2021-08-24,2021-08-27,-12.13,stop
BTCUSD,2021-09-04,2021-09-07,-12.13,stop
BNBUSD,2021-08-06,2021-09-07,11.33,stop
XRPUSD,2021-09-07,2021-09-07,-12.13,stop
ETHUSD,2021-07-31,2021-09-08,39.07,signal
ADAUSD,2021-08-06,2021-09-08,81.48,signal
AVAXUSD,2021-09-12,2021-09-13,-12.13,stop
AVAXUSD,2021-09-17,2021-09-20,-12.13,stop
SOLUSD,2021-07-31,2021-09-21,308.24,signal
AVAXUSD,2021-09-23,2021-09-26,-12.13,stop
SOLUSD,2021-10-04,2021-10-06,-12.13,stop
XRPUSD,2021-10-10,2021-10-19,-6.86,signal
AVAXUSD,2021-10-26,2021-10-27,-12.13,stop
BTCUSD,2021-10-19,2021-10-28,-6.05,signal
LINKUSD,2021-10-24,2021-11-16,1.82,signal
XRPUSD,2021-11-04,2021-11-16,-12.13,stop
ETHUSD,2021-10-07,2021-11-17,17.36,signal
SOLUSD,2021-10-21,2021-11-17,23.63,signal
BNBUSD,2021-10-30,2021-11-17,10.9,signal
AVAXUSD,2021-11-04,2021-11-27,36.07,signal
BTCUSD,2021-12-25,2021-12-29,-6.79,signal
SOLUSD,2021-12-27,2021-12-29,-10.71,signal
AVAXUSD,2022-03-28,2022-04-07,-8.04,signal
BTCUSD,2023-02-19,2023-02-25,-6.16,signal
ETHUSD,2023-02-21,2023-02-25,-5.92,signal
BNBUSD,2023-03-17,2023-03-28,-6.02,signal
BTCUSD,2023-03-15,2023-04-20,16.0,signal
ETHUSD,2023-03-14,2023-04-20,14.68,signal
BTCUSD,2023-05-29,2023-06-01,-3.31,signal
ETHUSD,2023-05-29,2023-06-06,-5.41,signal
XRPUSD,2023-05-27,2023-06-15,2.06,signal
ETHUSD,2023-06-24,2023-07-07,-2.81,signal
XRPUSD,2023-07-14,2023-07-14,-12.13,stop
BTCUSD,2023-06-21,2023-07-18,6.12,signal
ETHUSD,2023-07-14,2023-07-19,-5.68,signal
XRPUSD,2023-09-21,2023-09-25,-4.03,signal
XRPUSD,2023-10-02,2023-10-10,-4.31,signal
XRPUSD,2023-11-06,2023-11-17,-7.75,signal
BTCUSD,2023-10-17,2023-11-22,24.99,signal
ETHUSD,2023-11-10,2023-11-22,-9.11,signal
LINKUSD,2023-10-22,2023-11-22,49.55,signal
DOTUSD,2023-12-10,2023-12-10,-12.13,stop
LINKUSD,2023-12-09,2023-12-11,-12.13,stop
AVAXUSD,2023-12-06,2023-12-29,61.69,signal
BTCUSD,2023-12-02,2023-12-30,8.35,signal
ADAUSD,2023-11-26,2024-01-04,40.76,signal
SOLUSD,2023-10-22,2024-01-07,219.1,signal
AVAXUSD,2024-02-03,2024-02-06,-6.48,signal
SOLUSD,2024-02-09,2024-02-22,1.87,signal
LINKUSD,2024-02-02,2024-02-22,7.92,signal
AVAXUSD,2024-02-10,2024-02-22,-1.35,signal
DOTUSD,2024-02-09,2024-03-16,33.86,signal
BTCUSD,2024-02-13,2024-03-17,30.27,signal
ETHUSD,2024-02-28,2024-03-17,8.18,signal
ADAUSD,2024-02-09,2024-03-17,23.78,signal
BNBUSD,2024-02-22,2024-03-20,33.5,signal
SOLUSD,2024-02-29,2024-04-06,46.17,signal
SOLUSD,2024-05-16,2024-05-27,2.62,signal
DOGEUSD,2024-05-21,2024-05-31,-4.1,signal
BNBUSD,2024-05-21,2024-06-01,-1.47,signal
ETHUSD,2024-05-21,2024-06-11,-0.18,signal
BNBUSD,2024-06-04,2024-06-11,-0.62,signal
BTCUSD,2024-05-16,2024-06-12,1.31,signal
ETHUSD,2024-07-16,2024-07-25,-4.6,signal
BTCUSD,2024-07-20,2024-08-01,-3.44,signal
SOLUSD,2024-07-16,2024-08-02,4.53,signal
BNBUSD,2024-07-16,2024-08-03,-7.63,signal
BNBUSD,2024-08-23,2024-08-27,-6.15,signal
BTCUSD,2024-08-24,2024-08-28,-7.54,signal
BNBUSD,2024-09-19,2024-10-01,1.17,signal
BTCUSD,2024-09-19,2024-10-02,-1.88,signal
SOLUSD,2024-09-20,2024-10-02,1.24,signal
XRPUSD,2024-09-22,2024-10-02,-12.13,stop
BNBUSD,2024-10-21,2024-10-24,-3.74,signal
BNBUSD,2024-10-30,2024-11-01,-5.18,signal
SOLUSD,2024-10-20,2024-11-04,1.39,signal
BTCUSD,2024-10-15,2024-11-05,2.33,signal
SOLUSD,2024-11-07,2024-12-03,20.54,signal
LINKUSD,2024-12-03,2024-12-09,-12.13,stop
ADAUSD,2024-11-16,2024-12-10,41.59,signal
AVAXUSD,2024-11-23,2024-12-10,3.8,signal
DOGEUSD,2024-10-28,2024-12-11,172.66,signal
BTCUSD,2024-11-07,2024-12-20,28.33,signal
XRPUSD,2024-11-16,2024-12-20,149.84,signal
ADAUSD,2025-01-06,2025-01-08,-12.13,stop
ADAUSD,2025-01-18,2025-01-19,-12.13,stop
DOGEUSD,2025-01-18,2025-01-19,-12.13,stop
SOLUSD,2025-01-19,2025-01-20,-12.13,stop
BTCUSD,2025-01-22,2025-01-29,-4.87,signal
LINKUSD,2025-01-18,2025-01-29,-10.24,signal
XRPUSD,2025-01-12,2025-02-02,11.41,signal
BNBUSD,2025-02-13,2025-02-19,-7.53,signal
XRPUSD,2025-03-03,2025-03-03,-12.13,stop
ADAUSD,2025-03-03,2025-03-03,-12.13,stop
BNBUSD,2025-03-25,2025-03-30,-5.54,signal
XRPUSD,2025-04-23,2025-05-05,-2.95,signal
XRPUSD,2025-05-09,2025-05-24,-1.58,signal
BTCUSD,2025-04-22,2025-05-31,18.52,signal
BNBUSD,2025-05-22,2025-05-31,-3.0,signal
SOLUSD,2025-07-23,2025-07-24,-12.13,stop
BTCUSD,2025-07-03,2025-08-01,5.99,signal
XRPUSD,2025-07-04,2025-08-01,33.48,signal
ETHUSD,2025-07-11,2025-08-02,17.75,signal
BNBUSD,2025-07-03,2025-08-02,14.31,signal
BTCUSD,2025-08-13,2025-08-16,-2.52,signal
SOLUSD,2025-08-14,2025-08-19,-12.13,stop
ETHUSD,2025-08-08,2025-08-20,3.89,signal
ADAUSD,2025-08-16,2025-08-22,-12.13,stop
ETHUSD,2025-08-23,2025-08-30,-10.0,signal
LINKUSD,2025-08-09,2025-08-30,17.42,signal
BNBUSD,2025-08-14,2025-09-02,-0.59,signal
SOLUSD,2025-08-29,2025-09-23,2.55,signal
DOGEUSD,2025-09-12,2025-09-23,-6.03,signal
BNBUSD,2025-09-22,2025-09-26,-9.94,signal
AVAXUSD,2025-09-11,2025-09-26,-3.11,signal
ETHUSD,2025-10-07,2025-10-10,-7.01,signal
BNBUSD,2025-10-03,2025-10-10,-6.01,stop
