date,open,high,low,close,volume
2021-01-01,0.18138,0.18425,0.17202,0.17535,1122218004
2021-01-02,0.17536,0.18425,0.16923,0.17742,1408849504
2021-01-03,0.17738,0.20868,0.17338,0.205,2303857909
2021-01-04,0.20524,0.23966,0.19445,0.22476,3260699086
2021-01-05,0.22482,0.26489,0.20845,0.25831,4097207384
2021-01-06,0.25855,0.3463,0.25622,0.3319,6170988900
2021-01-07,0.33227,0.35334,0.28322,0.29998,5149188552
2021-01-08,0.30039,0.32019,0.26648,0.3056,4560690774
2021-01-09,0.30561,0.3386,0.29669,0.33297,3655608662
2021-01-10,0.33296,0.34039,0.28456,0.3049,3732911206
2021-01-11,0.305,0.305,0.23303,0.27547,4768803200
2021-01-12,0.27525,0.31337,0.26573,0.287,4037298875
2021-01-13,0.28669,0.31447,0.2724,0.31361,2656935144
2021-01-14,0.31355,0.32355,0.2998,0.3104,2686785564
2021-01-15,0.31055,0.32969,0.28074,0.30253,3171984602
2021-01-16,0.30251,0.36541,0.30225,0.35244,4476161885
2021-01-17,0.35234,0.39565,0.34283,0.37985,5617481334
2021-01-18,0.37974,0.39544,0.36623,0.37143,3480282508
2021-01-19,0.37146,0.38299,0.36362,0.36914,2957453653
2021-01-20,0.36894,0.3762,0.33196,0.37539,3281600988
2021-01-21,0.37545,0.37872,0.3014,0.31021,3567902823
2021-01-22,0.31005,0.35916,0.28358,0.34958,4066222238
2021-01-23,0.34933,0.35721,0.3367,0.34564,2781033956
2021-01-24,0.34559,0.36864,0.33876,0.35388,2539663711
2021-01-25,0.35385,0.36351,0.34166,0.34389,2339817092
2021-01-26,0.34384,0.34975,0.32582,0.34423,2557745015
2021-01-27,0.34422,0.34422,0.30546,0.31308,2666764973
2021-01-28,0.31302,0.35348,0.3061,0.34613,2863036709
2021-01-29,0.35235,0.36677,0.33202,0.34813,3367098095
2021-01-30,0.34808,0.37272,0.33747,0.36262,2866173269
2021-01-31,0.36261,0.37541,0.33895,0.3449,2455679992
2021-02-01,0.34482,0.41715,0.33419,0.40203,3838085989
2021-02-02,0.40295,0.4526,0.38879,0.42625,6504904709
2021-02-03,0.42596,0.44736,0.41505,0.4414,3648896567
2021-02-04,0.44136,0.44701,0.41016,0.44105,3553059568
2021-02-05,0.44114,0.55672,0.43956,0.53787,6808411307
2021-02-06,0.53776,0.65763,0.52297,0.62789,8109402422
2021-02-07,0.62883,0.70254,0.58695,0.66324,11252055620
2021-02-08,0.66238,0.71941,0.63428,0.68251,9056514741
2021-02-09,0.68215,0.70904,0.6694,0.70352,5885048712
2021-02-10,0.70355,0.94389,0.70355,0.93032,12667653585
2021-02-11,0.93082,0.97333,0.87195,0.92774,10627183208
2021-02-12,0.9271,0.94506,0.87112,0.92559,8035829513
2021-02-13,0.92542,0.94995,0.833,0.90572,7532474270
2021-02-14,0.90633,0.9146,0.8152,0.84842,7159401195
2021-02-15,0.84783,0.90816,0.71712,0.86101,8979888270
2021-02-16,0.8607,0.90421,0.84092,0.87095,6948621246
2021-02-17,0.87091,0.89595,0.82649,0.89092,5841828077
2021-02-18,0.89087,0.9569,0.89087,0.91412,4918032802
2021-02-19,0.91426,0.94378,0.88528,0.92765,4582877243
2021-02-20,0.92746,1.19396,0.91692,1.12296,11454890463
2021-02-21,1.12158,1.1499,1.07932,1.10052,7042361464
2021-02-22,1.10041,1.13416,0.85153,1.09915,10562051439
2021-02-23,1.09877,1.13371,0.82415,0.95471,11201900117
2021-02-24,0.95496,1.07483,0.90258,1.05166,8481334623
2021-02-25,1.05135,1.17273,1.01799,1.07912,8248286269
2021-02-26,1.08083,1.29005,0.99515,1.2411,14884142109
2021-02-27,1.24215,1.47665,1.23414,1.32486,19141980288
2021-02-28,1.32362,1.36111,1.16609,1.30806,15732556180
2021-03-01,1.30979,1.34241,1.2393,1.29239,9775330113
2021-03-02,1.29361,1.29963,1.18873,1.22558,8118255106
2021-03-03,1.22572,1.26353,1.21423,1.21659,4937160429
2021-03-04,1.21645,1.22967,1.06922,1.11487,7164490225
2021-03-05,1.11464,1.19513,1.04116,1.16852,7325099027
2021-03-06,1.16746,1.18072,1.09013,1.13101,5348048001
2021-03-07,1.13085,1.14229,1.10831,1.13337,4204795554
2021-03-08,1.13294,1.17622,1.10792,1.11805,3557114310
2021-03-09,1.11815,1.21492,1.11332,1.19516,5317733185
2021-03-10,1.1951,1.20468,1.12397,1.135,4215428913
2021-03-11,1.13441,1.13825,1.11164,1.12479,3633460869
2021-03-12,1.12482,1.12809,1.03275,1.03914,4224893051
2021-03-13,1.03889,1.1829,0.99305,1.10331,5871086058
2021-03-14,1.10298,1.10298,1.05915,1.05915,3738147940
2021-03-15,1.0586,1.06891,1.00763,1.03354,4545451677
2021-03-16,1.03324,1.25889,1.00431,1.24295,9502962157
2021-03-17,1.24356,1.41934,1.20666,1.37867,10046495758
2021-03-18,1.6551,1.88,1.2155,1.23,11392835545
2021-03-19,1.2311,1.396,1.1808,1.3076,7970282918
2021-03-20,1.3065,1.345,1.2001,1.2013,4316999916
2021-03-21,1.2013,1.2463,1.1607,1.1885,4064084727
2021-03-22,1.1885,1.2076,1.07,1.1027,4058067310
2021-03-23,1.1027,1.1742,1.082,1.1178,4609407773
2021-03-24,1.1175,1.1686,1.04,1.0674,3759287517
2021-03-25,1.0691,1.1547,1.0442,1.0963,5732698268
2021-03-26,1.0963,1.2869,1.0944,1.2144,6325795912
2021-03-27,1.2149,1.2415,1.1575,1.1768,3106871131
2021-03-28,1.1775,1.2188,1.1666,1.1903,2397009016
2021-03-29,1.1904,1.2294,1.1777,1.2032,2554597106
2021-03-30,1.2032,1.2365,1.1888,1.2135,2517422843
2021-03-31,1.2135,1.2138,1.1526,1.1934,3190463749
2021-04-01,1.1926,1.2079,1.171,1.1842,2309789364
2021-04-02,1.1842,1.245,1.18,1.1908,2909026267
2021-04-03,1.1908,1.2413,1.1605,1.1637,3355350115
2021-04-04,1.1639,1.1941,1.1521,1.1817,2166855014
2021-04-05,1.1823,1.2263,1.1608,1.2123,2992739340
2021-04-06,1.2124,1.3423,1.1913,1.2566,6301229657
2021-04-07,1.2578,1.2909,1.1601,1.1745,4771395490
2021-04-08,1.1745,1.2289,1.1703,1.2195,2315835365
2021-04-09,1.219,1.2299,1.1922,1.2027,1678933674
2021-04-10,1.2027,1.2516,1.195,1.2176,2481275569
2021-04-11,1.2182,1.29,1.1986,1.2647,3636786443
2021-04-12,1.2638,1.3476,1.2635,1.3153,4918248258
2021-04-13,1.3153,1.4368,1.2828,1.414,5896543066
2021-04-14,1.414,1.5591,1.3495,1.4512,9596107541
2021-04-15,1.4528,1.4975,1.4111,1.4803,5337358369
2021-04-16,1.4806,1.5222,1.34,1.413,5692183858
2021-04-17,1.413,1.4599,1.36,1.3772,4058018560
2021-04-18,1.3773,1.3924,1.13,1.2804,7454680286
2021-04-19,1.2804,1.3277,1.17,1.1963,5665978235
2021-04-20,1.1968,1.2839,1.1239,1.2689,4855633658
2021-04-21,1.2685,1.289,1.1964,1.2042,4078624182
2021-04-22,1.2048,1.28,1.12,1.1456,4693396293
2021-04-23,1.1456,1.1691,0.991,1.1599,7196378408
