date,open,high,low,close,volume
2021-01-01,3.15354,3.87354,3.05454,3.66482,81260736
2021-01-02,3.66216,3.93701,3.29926,3.49494,50081958
2021-01-03,3.49429,3.82609,3.39684,3.47294,36997985
2021-01-04,3.47352,3.83196,3.2504,3.59024,39414734
2021-01-05,3.59067,4.34322,3.48549,4.23741,69735075
2021-01-06,4.23397,4.97132,4.1553,4.62036,77632627
2021-01-07,4.60581,4.80898,4.34703,4.47661,53715138
2021-01-08,4.47587,5.81303,4.05475,5.79711,100707264
2021-01-09,5.76671,7.45909,5.62101,7.21853,162227415
2021-01-10,7.21623,7.50171,6.19173,6.5865,96243972
2021-01-11,6.57979,6.98602,5.7755,6.49409,101394969
2021-01-12,6.48762,8.19862,6.45799,7.7827,157738757
2021-01-13,7.75714,8.47857,7.18676,8.46682,107370548
2021-01-14,8.46419,9.52769,8.2286,9.26132,154674301
2021-01-15,9.27043,9.85564,8.63332,9.38001,123418249
2021-01-16,9.38684,13.35924,9.16947,12.87792,302897986
2021-01-17,12.86846,14.38287,12.40022,13.20268,303643624
2021-01-18,13.17922,13.83419,12.68175,12.70157,144213432
2021-01-19,12.71236,13.33199,11.62126,11.79032,147387064
2021-01-20,11.79147,12.99859,11.07972,12.41157,143245334
2021-01-21,12.41855,12.99001,11.14711,11.31012,166420741
2021-01-22,11.30128,13.38075,10.72033,12.71884,190313148
2021-01-23,12.70736,13.47914,12.56253,12.87723,140727865
2021-01-24,12.87248,13.16489,12.27584,12.46392,105137518
2021-01-25,12.45966,12.9288,12.0814,12.2241,89612475
2021-01-26,12.22285,12.71687,11.48374,12.17289,117575609
2021-01-27,12.17948,12.22419,10.83576,11.1848,97215395
2021-01-28,11.18737,12.68406,10.90334,12.00027,115201839
2021-01-29,12.02298,12.60682,11.37697,11.6217,146529369
2021-01-30,11.61605,12.62557,11.31264,11.98442,112936218
2021-01-31,11.99728,15.22438,11.85807,13.51632,351069270
2021-02-01,13.51938,13.51938,12.63804,13.22777,149280612
2021-02-02,13.23548,13.67038,12.80549,13.51505,91074992
2021-02-03,13.5072,14.90488,13.201,14.80505,144515018
2021-02-04,14.79927,15.81354,13.98281,15.36818,180318628
2021-02-05,15.34853,17.99699,15.2205,17.9138,196730774
2021-02-06,17.90973,18.54456,16.03665,17.97602,192597459
2021-02-07,18.02067,24.21028,18.00035,24.20718,545865729
2021-02-08,24.04464,33.30602,23.6696,30.27533,894521369
2021-02-09,30.25591,32.97259,27.57259,31.59889,445128059
2021-02-10,31.59963,59.93984,31.59963,55.29848,2235807129
2021-02-11,54.93386,56.26388,42.22794,47.37032,856224806
2021-02-12,47.15752,54.39251,43.77419,48.65618,688788872
2021-02-13,48.65752,51.9179,43.49149,43.78715,380032573
