date,open,high,low,close,volume
2021-06-15,24.0,24.0,22.5,23.04,731607
2021-06-16,23.04,24.0,22.0,22.55,777908
2021-06-17,22.56,22.57,20.22,21.47,1330098
2021-06-18,21.44,21.67,20.23,20.23,547034
2021-06-19,20.22,21.0,18.88,20.65,601282
2021-06-20,20.6,20.8,15.67,15.73,1365673
2021-06-21,15.73,22.8,13.15,14.68,2994535
2021-06-22,14.72,16.84,14.0,15.81,2036329
2021-06-23,15.81,16.61,14.74,16.22,1155981
2021-06-24,16.22,16.73,14.42,14.43,1190915
2021-06-25,14.43,14.99,13.71,14.68,1006464
2021-06-26,14.68,15.2,14.08,15.01,845818
2021-06-27,15.03,16.04,14.6,15.79,1367247
2021-06-28,15.81,17.11,15.72,16.26,1674870
2021-06-29,16.31,16.64,15.1,16.42,1172400
2021-06-30,16.42,16.42,14.85,15.2,954947
2021-07-01,15.19,15.46,14.63,15.3,738167
2021-07-02,15.3,15.76,14.99,15.53,480326
2021-07-03,15.53,16.58,15.17,15.97,690420
2021-07-04,15.97,15.98,14.76,15.24,738731
2021-07-05,15.25,16.23,15.2,16.14,926262
2021-07-06,16.13,17.68,16.08,16.85,1894698
2021-07-07,16.84,16.92,15.0,15.32,1521815
2021-07-08,15.32,15.91,14.84,15.68,721279
2021-07-09,15.7,16.0,15.05,15.29,396697
2021-07-10,15.28,15.7,15.15,15.49,344700
2021-07-11,15.49,15.65,14.41,14.85,556254
2021-07-12,14.86,15.1,14.02,14.18,549838
2021-07-13,14.21,14.23,13.17,13.81,923940
2021-07-14,13.8,14.11,12.74,13.11,982449
2021-07-15,13.11,13.32,12.01,12.03,974652
2021-07-16,12.03,12.75,11.72,12.3,999868
2021-07-17,12.3,12.94,12.27,12.68,771950
2021-07-18,12.68,12.75,11.35,11.46,1018502
2021-07-19,11.47,11.56,10.38,10.96,1618913
2021-07-20,10.97,12.86,10.66,12.34,1853976
2021-07-21,12.34,13.37,11.8,13.18,1382718
2021-07-22,13.17,13.53,12.33,13.41,1432322
2021-07-23,13.41,14.07,13.14,13.76,1365732
2021-07-24,13.78,13.85,13.09,13.76,1057455
2021-07-25,13.76,15.3,13.66,13.93,2403351
2021-07-26,13.92,14.55,13.36,14.39,1699803
2021-07-27,14.37,14.77,13.94,14.54,1383476
2021-07-28,14.54,15.4,14.27,15.26,1439467
2021-07-29,15.26,15.86,14.43,15.81,1501381
2021-07-30,15.8,17.04,15.59,16.8,1570179
2021-07-31,16.8,19.9,16.56,18.41,3702793
2021-08-01,18.43,18.92,17.56,17.99,1735216
2021-08-02,17.99,18.54,16.81,17.44,1084497
2021-08-03,17.43,19.59,17.1,19.15,1670809
2021-08-04,19.15,19.45,17.87,19.14,1548852
2021-08-05,19.15,20.83,18.53,20.44,1355346
2021-08-06,20.44,21.7,20.02,20.97,1522210
2021-08-07,20.99,21.22,19.21,19.68,1227232
2021-08-08,19.68,21.28,18.64,20.58,1409763
2021-08-09,20.58,21.42,20.07,20.62,1814688
2021-08-10,20.62,22.47,20.55,21.35,2109535
2021-08-11,21.36,22.31,19.91,20.75,1237081
2021-08-12,20.77,22.78,20.52,22.75,1545861
