date,open,high,low,close,volume
2021-01-01,1.50978,1.85966,1.50204,1.84208,25722549
2021-01-02,1.84559,1.9893,1.72148,1.79928,31671064
2021-01-03,1.7999,2.36498,1.7999,2.16175,55073422
2021-01-04,2.16241,2.4851,1.87634,2.4851,59955405
2021-01-05,2.49098,2.50262,2.07774,2.15722,50555207
2021-01-06,2.15963,2.18589,1.90759,1.92922,50263975
2021-01-07,1.93659,2.61183,1.93304,2.37275,159870278
2021-01-08,2.36874,3.77932,2.18093,3.21989,206412154
2021-01-09,3.22354,3.66279,2.93831,3.38538,91906875
2021-01-10,3.39003,3.73355,3.19624,3.46611,62766977
2021-01-11,3.46107,3.51357,2.59712,3.10809,82877500
2021-01-12,3.10369,3.84442,3.08004,3.6134,73484689
2021-01-13,3.62838,3.62883,3.27492,3.51378,57994893
2021-01-14,3.51604,3.54287,3.18197,3.27816,59283112
2021-01-15,3.2804,3.43592,2.98519,3.25016,45331739
2021-01-16,3.24893,3.70323,3.24893,3.44706,68035606
2021-01-17,3.43487,3.96537,3.31975,3.81814,85407766
2021-01-18,3.82213,4.14792,3.65576,3.79552,70601713
2021-01-19,3.79204,4.03145,3.60902,3.64187,44547768
2021-01-20,3.63558,3.737,3.34408,3.72358,46698656
2021-01-21,3.72167,3.73433,2.9827,2.99054,43834765
2021-01-22,2.98992,3.49715,2.54099,3.34623,63361382
2021-01-23,3.34104,3.5973,3.31576,3.50411,27904470
2021-01-24,3.50711,3.79305,3.48949,3.63441,32747555
2021-01-25,3.63465,3.97436,3.45131,3.69998,80055958
2021-01-26,3.69896,4.09692,3.68263,4.04735,78823456
2021-01-27,4.04863,4.04863,3.5316,3.69059,35195110
2021-01-28,3.68637,3.94349,3.60988,3.82207,31410527
2021-01-29,3.86158,3.8926,3.63939,3.83468,44053151
2021-01-30,3.83768,4.31198,3.7741,4.22428,53378198
2021-01-31,4.23731,4.78701,4.1705,4.26414,78376267
2021-02-01,4.26125,4.6116,4.11826,4.6116,39361629
2021-02-02,4.61374,5.40364,4.48012,5.26751,98755962
2021-02-03,5.24659,5.78078,5.07274,5.71599,49386327
2021-02-04,5.73175,6.53101,5.60324,6.42607,108249482
2021-02-05,6.43537,7.12712,6.42645,6.68172,92892157
2021-02-06,6.6873,6.79913,5.71383,6.11081,102365494
2021-02-07,6.11765,6.87151,5.76859,6.70046,105451103
2021-02-08,6.70245,8.05593,6.48893,7.88325,155254261
2021-02-09,7.8698,8.46778,7.57022,7.81679,121037873
2021-02-10,7.81855,9.0726,7.61385,9.07221,120679902
2021-02-11,9.08036,9.707,8.76132,9.21535,53600048
2021-02-12,9.21479,9.92445,9.07901,9.24701,91484664
2021-02-13,9.23603,9.49904,8.68301,8.73246,91417968
2021-02-14,8.74299,9.2203,8.55972,8.7389,93500423
2021-02-15,8.72427,9.31064,7.84047,8.86174,109854635
2021-02-16,8.86075,8.98037,7.98356,8.29787,71625205
2021-02-17,8.29869,8.4333,7.5444,8.22258,89948578
2021-02-18,8.23287,9.27918,8.23287,8.98045,77306770
2021-02-19,8.97997,11.68058,8.55698,11.46565,261175711
2021-02-20,11.47809,11.78674,9.81585,10.00266,140264810
2021-02-21,9.98755,11.64029,9.88705,11.08551,137742366
2021-02-22,11.07304,14.54564,9.2559,14.45479,574136241
2021-02-23,14.42163,15.74337,11.59989,15.20154,485252846
2021-02-24,15.21384,18.14662,14.8618,17.30271,375439707
2021-02-25,17.23018,17.69544,13.79591,13.81601,364505276
2021-02-26,13.86589,15.48371,13.12014,13.58794,289687328
2021-02-27,13.60157,14.61207,13.05727,13.20117,247640940
2021-02-28,13.20777,13.77902,11.48998,13.08925,300493226
2021-03-01,13.10844,15.51606,13.05739,14.95559,306451693
2021-03-02,14.96685,15.22413,13.46075,13.95892,178549852
2021-03-03,13.96354,14.72936,13.76705,14.11559,153830742
2021-03-04,14.09487,14.26036,12.77127,13.09798,116364466
2021-03-05,13.06631,13.07986,12.18461,12.61044,90978408
2021-03-06,12.56994,13.27048,11.90123,13.03646,118851546
2021-03-07,13.04393,13.9969,12.72639,13.87773,117548176
